"Dataset","Preprocessing","Var_Selection","PLS_Method","ncomp","R2","RMSE","MAE"
"Dataset 1 with Ref 1","Raw","None","simpls",7,0.100350048128358,1.64917395534998,1.15869362099478
"Dataset 1 with Ref 1","Raw","None","nipals",2,-0.558446491774653,2.05362929931066,1.4291652954315
"Dataset 1 with Ref 1","Raw","None","kernelpls",9,-0.165217724019694,1.8667746432562,1.31431752066859
"Dataset 1 with Ref 1","Raw","None","widekernelpls",4,0.0419971480537078,1.67010969519571,1.19324799910789
"Dataset 1 with Ref 1","Raw","VIP","simpls",2,0.0480468940255283,1.64308872441114,1.10465448159155
"Dataset 1 with Ref 1","Raw","VIP","nipals",2,-0.15397183837961,1.96502146670154,1.35748917990601
"Dataset 1 with Ref 1","Raw","VIP","kernelpls",3,0.188941464104494,1.58752642129802,1.03070225234432
"Dataset 1 with Ref 1","Raw","VIP","widekernelpls",3,0.14086114483417,1.6675487231283,1.10722161303493
"Dataset 1 with Ref 1","Raw","SR","simpls",1,0.106299653156965,1.65790856447412,1.09319804572831
"Dataset 1 with Ref 1","Raw","SR","nipals",1,0.133506949374709,1.68894391870397,1.07382169060278
"Dataset 1 with Ref 1","Raw","SR","kernelpls",5,0.156086790944403,1.69087499378336,1.05083771228597
"Dataset 1 with Ref 1","Raw","SR","widekernelpls",5,0.158595305856127,1.63589850874167,1.05023094905726
"Dataset 1 with Ref 1","Raw","sMC","simpls",3,0.221482150311332,1.61805893174222,1.09452865991949
"Dataset 1 with Ref 1","Raw","sMC","nipals",6,-0.117808804786573,1.92692435184202,1.31947956338568
"Dataset 1 with Ref 1","Raw","sMC","kernelpls",8,0.0810900009975775,1.71349864311735,1.18068938528553
"Dataset 1 with Ref 1","Raw","sMC","widekernelpls",7,-0.00067372571865445,1.66505653492667,1.12444834926569
"Dataset 1 with Ref 1","Raw","UVE","simpls",4,-0.0541191950334956,1.68908033029343,1.10826985908451
"Dataset 1 with Ref 1","Raw","UVE","nipals",1,0.124930864748344,1.70643236835231,1.09035366177908
"Dataset 1 with Ref 1","Raw","UVE","kernelpls",5,0.06512129766026,1.696383715247,1.13684960481149
"Dataset 1 with Ref 1","Raw","UVE","widekernelpls",1,0.0270377094387668,1.74921580708235,1.11967299260732
"Dataset 1 with Ref 1","Raw","GA","simpls",4,0.137603717732353,1.62548114566402,1.07953323713521
"Dataset 1 with Ref 1","Raw","GA","nipals",20,0.145028655257055,1.66111001333316,1.18006030072115
"Dataset 1 with Ref 1","Raw","GA","kernelpls",4,0.0920621078298935,1.66604042214927,1.10876741383006
"Dataset 1 with Ref 1","Raw","GA","widekernelpls",2,0.18976084241877,1.60637924420541,1.09794603372634
"Dataset 1 with Ref 1","SNV","None","simpls",5,-2.06409176682623,2.78943263893775,2.45942009865381
"Dataset 1 with Ref 1","SNV","None","nipals",1,-3.21002755432517,3.40812736413323,2.75252389795229
"Dataset 1 with Ref 1","SNV","None","kernelpls",6,-2.27627599177907,2.84640533457415,2.41609779194127
"Dataset 1 with Ref 1","SNV","None","widekernelpls",12,-3.66359166636461,3.41601893934149,2.71163498706206
"Dataset 1 with Ref 1","SNV","VIP","simpls",5,-5.00616406943195,3.72606292791054,3.27715351996685
"Dataset 1 with Ref 1","SNV","VIP","nipals",1,-12.6290720601536,3.42699799350288,2.77491150359915
"Dataset 1 with Ref 1","SNV","VIP","kernelpls",7,-2.60648067870789,3.02954328653572,2.67306505807623
"Dataset 1 with Ref 1","SNV","VIP","widekernelpls",9,-3.53663866104514,2.89320191604188,2.50673110797464
"Dataset 1 with Ref 1","SNV","SR","simpls",1,-0.236828299746588,1.92775174372625,1.24009500808805
"Dataset 1 with Ref 1","SNV","SR","nipals",12,-1.41398826938613,2.4304470566955,1.58826640560451
"Dataset 1 with Ref 1","SNV","SR","kernelpls",2,-0.115357594756984,1.81266625488128,1.17475364522013
"Dataset 1 with Ref 1","SNV","SR","widekernelpls",5,-0.157258861408377,1.77256607958644,1.25901137722293
"Dataset 1 with Ref 1","SNV","sMC","simpls",6,-3.84515956983659,2.54670672359721,2.09556101190582
"Dataset 1 with Ref 1","SNV","sMC","nipals",1,-2.89716866225578,3.29775306878617,2.61275539443797
"Dataset 1 with Ref 1","SNV","sMC","kernelpls",11,-0.937767105841853,2.30767239510302,1.8371524574764
"Dataset 1 with Ref 1","SNV","sMC","widekernelpls",10,-3.53648754241249,3.01751100477752,2.4974999666846
"Dataset 1 with Ref 1","SNV","UVE","simpls",1,0.24693002015017,1.55521739806232,1.03650470802071
"Dataset 1 with Ref 1","SNV","UVE","nipals",1,0.046925204777361,1.64643150923452,1.11136046795673
"Dataset 1 with Ref 1","SNV","UVE","kernelpls",3,-0.407113115636417,1.6996748650264,1.14983257909048
"Dataset 1 with Ref 1","SNV","UVE","widekernelpls",2,0.0270887403533351,1.64086823875914,1.12546547941566
"Dataset 1 with Ref 1","SNV","GA","simpls",11,-1.38554547596674,2.61241283589195,2.24323254749307
"Dataset 1 with Ref 1","SNV","GA","nipals",1,-3.3901180519785,3.52039502124071,2.91623658910447
