"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Mtry","R2","RMSE","MAE"
"Dataset 1 with Ref 1","Raw","None","Conditional_Inference_Forest",29,0.142782384328798,1.70917389528134,1.04550412165896
"Dataset 1 with Ref 1","Raw","VIP","Conditional_Inference_Forest",87,0.171691400362855,1.68010642513442,1.04134092194454
"Dataset 1 with Ref 1","Raw","GA","Conditional_Inference_Forest",47,0.143537180291383,1.70842124995458,1.05094029175887
"Dataset 1 with Ref 1","Raw","PCA","Conditional_Inference_Forest",6,0.161185074460817,1.6907281450205,1.02275997204339
"Dataset 1 with Ref 1","Raw","Kernel_PCA","Conditional_Inference_Forest",10,0.221885918473582,1.62840469148435,1.00428214057008
"Dataset 1 with Ref 1","SNV","None","Conditional_Inference_Forest",295,0.347505955671716,1.49117626876443,0.953366329001985
"Dataset 1 with Ref 1","SNV","VIP","Conditional_Inference_Forest",17,0.395824490916678,1.4349020824113,0.909391714343996
"Dataset 1 with Ref 1","SNV","GA","Conditional_Inference_Forest",46,0.349510572457691,1.48888388276458,0.955784584898447
"Dataset 1 with Ref 1","SNV","PCA","Conditional_Inference_Forest",10,0.340370899551208,1.49930714611903,0.922212452706748
"Dataset 1 with Ref 1","SNV","Kernel_PCA","Conditional_Inference_Forest",10,0.228390239148855,1.62158442328242,0.99837839021387
"Dataset 1 with Ref 1","1st_Der","None","Conditional_Inference_Forest",297,0.301435328662509,1.54292216012471,0.943305901522998
"Dataset 1 with Ref 1","1st_Der","VIP","Conditional_Inference_Forest",13,0.357932215393525,1.47921447331527,0.93550366033775
"Dataset 1 with Ref 1","1st_Der","GA","Conditional_Inference_Forest",46,0.313885734191802,1.52911071719883,0.959935569970034
"Dataset 1 with Ref 1","1st_Der","PCA","Conditional_Inference_Forest",6,0.236922490234135,1.61259398074644,0.979404095598029
"Dataset 1 with Ref 1","1st_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.378976089723139,1.45477178106304,0.916727568493449
"Dataset 1 with Ref 1","2nd_Der","None","Conditional_Inference_Forest",29,0.229172006554584,1.62076274944391,0.995968148410856
"Dataset 1 with Ref 1","2nd_Der","VIP","Conditional_Inference_Forest",90,0.318060180879524,1.52445192327315,0.964438625516889
"Dataset 1 with Ref 1","2nd_Der","GA","Conditional_Inference_Forest",41,0.265034384155345,1.58261114008024,0.980723898946381
"Dataset 1 with Ref 1","2nd_Der","PCA","Conditional_Inference_Forest",10,0.17915913203186,1.67251566063436,1.02345161386197
"Dataset 1 with Ref 1","2nd_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.363955175963727,1.47226019006516,0.91030986707756
"Dataset 1 with Ref 1","EMSC","None","Conditional_Inference_Forest",443,0.444363053400025,1.3760564981989,0.87543022463245
"Dataset 1 with Ref 1","EMSC","VIP","Conditional_Inference_Forest",251,0.449805959473962,1.3693001272309,0.874160277013071
"Dataset 1 with Ref 1","EMSC","GA","Conditional_Inference_Forest",43,0.430787386855116,1.39276538658823,0.874013745490592
"Dataset 1 with Ref 1","EMSC","PCA","Conditional_Inference_Forest",10,0.319919660798346,1.52237210429955,0.963845074554114
"Dataset 1 with Ref 1","EMSC","Kernel_PCA","Conditional_Inference_Forest",10,0.421850256544891,1.40365661322065,0.859722967580956
"Dataset 1 with Ref 1","RNV","None","Conditional_Inference_Forest",450,0.145234096890866,1.70672795649663,1.04584415364433
"Dataset 1 with Ref 1","RNV","VIP","Conditional_Inference_Forest",87,0.174084034975166,1.67767811042013,1.03531354522582
"Dataset 1 with Ref 1","RNV","GA","Conditional_Inference_Forest",27,0.15352657823148,1.69842889856946,1.04079668857989
"Dataset 1 with Ref 1","RNV","PCA","Conditional_Inference_Forest",10,0.169770949084034,1.68205297892211,1.04067846128344
"Dataset 1 with Ref 1","RNV","Kernel_PCA","Conditional_Inference_Forest",4,0.177101230326373,1.67461090126785,1.04984999220242
"Dataset 1 with Ref 2","Raw","None","Conditional_Inference_Forest",29,0.0965811186986447,1.74984859433597,0.978726216518584
"Dataset 1 with Ref 2","Raw","VIP","Conditional_Inference_Forest",13,0.0997254763969456,1.74680075798176,0.984208380772572
"Dataset 1 with Ref 2","Raw","GA","Conditional_Inference_Forest",29,0.0943196832519354,1.75203733336958,0.980211460347266
"Dataset 1 with Ref 2","Raw","PCA","Conditional_Inference_Forest",4,0.131386718011354,1.71580972260984,0.957334624044649
"Dataset 1 with Ref 2","Raw","Kernel_PCA","Conditional_Inference_Forest",10,0.144342220260046,1.70296586616889,0.942671472081622
"Dataset 1 with Ref 2","SNV","None","Conditional_Inference_Forest",443,0.268185979183799,1.57491186331858,0.84895416199589
"Dataset 1 with Ref 2","SNV","VIP","Conditional_Inference_Forest",15,0.310988916351921,1.528160590572,0.826899386059282
"Dataset 1 with Ref 2","SNV","GA","Conditional_Inference_Forest",28,0.269587348736136,1.57340322105479,0.852804634747189
"Dataset 1 with Ref 2","SNV","PCA","Conditional_Inference_Forest",10,0.270250079921582,1.57268925476626,0.873215487298948
"Dataset 1 with Ref 2","SNV","Kernel_PCA","Conditional_Inference_Forest",6,0.182635495725274,1.66442326751416,0.925037100218239
"Dataset 1 with Ref 2","1st_Der","None","Conditional_Inference_Forest",29,0.2115187148405,1.63475090445569,0.891558308654616
"Dataset 1 with Ref 2","1st_Der","VIP","Conditional_Inference_Forest",11,0.266910590300046,1.57628362625387,0.847992693697758
"Dataset 1 with Ref 2","1st_Der","GA","Conditional_Inference_Forest",50,0.285625335841774,1.5560333944431,0.842016129983914
"Dataset 1 with Ref 2","1st_Der","PCA","Conditional_Inference_Forest",10,0.193127027326656,1.65370666091446,0.915301715886147
"Dataset 1 with Ref 2","1st_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.24827796377753,1.59618980357694,0.886894082002985
"Dataset 1 with Ref 2","2nd_Der","None","Conditional_Inference_Forest",29,0.171174046801054,1.67605228460285,0.913517313337417
"Dataset 1 with Ref 2","2nd_Der","VIP","Conditional_Inference_Forest",11,0.217925099938866,1.62809621031561,0.886414088138618
"Dataset 1 with Ref 2","2nd_Der","GA","Conditional_Inference_Forest",9,0.167052336834491,1.68021457834704,0.914905350517881
"Dataset 1 with Ref 2","2nd_Der","PCA","Conditional_Inference_Forest",10,0.138928218232956,1.70834495733415,0.950794447566923
"Dataset 1 with Ref 2","2nd_Der","Kernel_PCA","Conditional_Inference_Forest",10,0.259745554060873,1.58396800055105,0.862329709333506
"Dataset 1 with Ref 2","EMSC","None","Conditional_Inference_Forest",443,0.328264352291124,1.50888134614223,0.777199050442521
"Dataset 1 with Ref 2","EMSC","VIP","Conditional_Inference_Forest",121,0.330057067680594,1.5068665639944,0.777065821108546
"Dataset 1 with Ref 2","EMSC","GA","Conditional_Inference_Forest",49,0.309422037340685,1.52989719761505,0.797579573844531
"Dataset 1 with Ref 2","EMSC","PCA","Conditional_Inference_Forest",6,0.232356115099084,1.61300527924421,0.892763351619305
"Dataset 1 with Ref 2","EMSC","Kernel_PCA","Conditional_Inference_Forest",10,0.330841042256125,1.5059846300072,0.811304648049337
"Dataset 1 with Ref 2","RNV","None","Conditional_Inference_Forest",30,0.0981277448328498,1.74835010846301,0.974516337176966
"Dataset 1 with Ref 2","RNV","VIP","Conditional_Inference_Forest",13,0.103280208793855,1.74334872714348,0.979726669930171
"Dataset 1 with Ref 2","RNV","GA","Conditional_Inference_Forest",32,0.0975103915764985,1.74894839995025,0.977113787699539
"Dataset 1 with Ref 2","RNV","PCA","Conditional_Inference_Forest",4,0.130651460373935,1.71653576224821,0.962560577900659
"Dataset 1 with Ref 2","RNV","Kernel_PCA","Conditional_Inference_Forest",4,0.12125633168285,1.72578621579452,0.962810259868875
"Dataset 1 with Ref 3","Raw","None","Conditional_Inference_Forest",443,0.347133749722489,0.170281803167915,0.119200728029504
"Dataset 1 with Ref 3","Raw","VIP","Conditional_Inference_Forest",92,0.349912518913951,0.169919034844014,0.120811754671869
"Dataset 1 with Ref 3","Raw","GA","Conditional_Inference_Forest",38,0.341218814273295,0.171051436183057,0.12047968615793
"Dataset 1 with Ref 3","Raw","PCA","Conditional_Inference_Forest",4,0.342574484171978,0.170875346831104,0.120179849481964
"Dataset 1 with Ref 3","Raw","Kernel_PCA","Conditional_Inference_Forest",10,0.44810826847678,0.156560815535026,0.110985239516972
"Dataset 1 with Ref 3","SNV","None","Conditional_Inference_Forest",443,0.550232443181094,0.141335153125767,0.0999319141494174
"Dataset 1 with Ref 3","SNV","VIP","Conditional_Inference_Forest",18,0.570921118335594,0.138046277839044,0.0985733507482442
"Dataset 1 with Ref 3","SNV","GA","Conditional_Inference_Forest",48,0.559878023636576,0.139811423785815,0.0990245011266607
"Dataset 1 with Ref 3","SNV","PCA","Conditional_Inference_Forest",10,0.448727223792438,0.156472998189165,0.111394496828263
"Dataset 1 with Ref 3","SNV","Kernel_PCA","Conditional_Inference_Forest",10,0.438663008187559,0.157894849141505,0.112193731188249
"Dataset 1 with Ref 3","1st_Der","None","Conditional_Inference_Forest",297,0.52400750581467,0.145397246965953,0.103466160241036
"Dataset 1 with Ref 3","1st_Der","VIP","Conditional_Inference_Forest",63,0.579722392224422,0.136623138269294,0.0980934056313008
