"Dataset","Preprocessing","Var_Selection","Model_Method","R2","RMSE","MAE"
"Dataset 1 with Ref 1","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.132417986652528,1.71947544144767,1.04537471038851
"Dataset 1 with Ref 1","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.462199894447773,1.35378952399698,0.925967596856603
"Dataset 1 with Ref 1","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",-0.936366239064962,2.56882464134789,1.29774817959903
"Dataset 1 with Ref 1","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.189519467887746,1.66192722095205,0.99851549104547
"Dataset 1 with Ref 1","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.441563107828598,1.37951922839122,0.886118293001755
"Dataset 1 with Ref 1","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.132393034981561,1.7195001673389,1.04581300822157
"Dataset 1 with Ref 2","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.103567276394343,1.74306965501844,0.970425844874951
"Dataset 1 with Ref 2","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.31521408293355,1.52346787792663,0.840198870902571
"Dataset 1 with Ref 2","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.0239273900621968,1.81885029343251,0.972736086471078
"Dataset 1 with Ref 2","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.126817876664148,1.72031632013982,0.946547580198365
"Dataset 1 with Ref 2","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.327045127960032,1.51025006227966,0.810024059398669
"Dataset 1 with Ref 2","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.103567276394343,1.74306965501844,0.970425844874951
"Dataset 1 with Ref 3","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.26560343898818,0.180601539661664,0.125809230899181
"Dataset 1 with Ref 3","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.670106883052697,0.12104385826181,0.0892553264618842
"Dataset 1 with Ref 3","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",-0.472508488491941,0.255731976188261,0.132304731062214
"Dataset 1 with Ref 3","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.369519192720625,0.167337033804521,0.116531760746855
"Dataset 1 with Ref 3","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.653972515187587,0.123968523644447,0.0887679277683625
"Dataset 1 with Ref 3","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",-7.25322766290996,0.605435724903688,0.167332955516902
"Dataset 1 with Ref 4","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.235782173265579,0.15961964872966,0.111026580452588
"Dataset 1 with Ref 4","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.670337061524094,0.10483657674219,0.0761587478035981
"Dataset 1 with Ref 4","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",-0.471472388359668,0.221489849081183,0.111648944246669
"Dataset 1 with Ref 4","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.37255381607907,0.144632538856101,0.102089845583546
"Dataset 1 with Ref 4","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.654097984313272,0.107387644160757,0.0756964261821175
"Dataset 1 with Ref 4","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",-7.24617439565485,0.524329178240567,0.152528038398023
"Dataset 2 with Ref 1","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.125740705709883,1.72607966649476,1.00168265968506
"Dataset 2 with Ref 1","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.458667796107338,1.35822787586966,0.920975008603515
"Dataset 2 with Ref 1","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.181020459817779,1.67061829733122,0.98898766994103
"Dataset 2 with Ref 1","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.0686204195745118,1.78157481052727,1.04546036021394
"Dataset 2 with Ref 1","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.145324934660145,1.7066372653033,1.04168092708794
"Dataset 2 with Ref 1","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.142709425937403,1.70924662822718,0.994851799777955
"Dataset 2 with Ref 2","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.0615256467261176,1.7834752868646,0.971341051738247
"Dataset 2 with Ref 2","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.32433212700762,1.51329126814628,0.813354837653178
"Dataset 2 with Ref 2","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.0802754418602971,1.76556935831323,0.962119885981217
"Dataset 2 with Ref 2","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.0539371109669646,1.79067139029132,0.965964185826149
"Dataset 2 with Ref 2","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.1107576807634,1.73606488511206,0.961710676280993
"Dataset 2 with Ref 2","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.061095431205031,1.78388403049907,0.972221764059043
"Dataset 2 with Ref 3","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.254228143844304,0.181994861508371,0.120456953631773
"Dataset 2 with Ref 3","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.725913414685637,0.110331626692921,0.0769195365693674
"Dataset 2 with Ref 3","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.405898964676064,0.162437495863173,0.113375854191732
"Dataset 2 with Ref 3","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.298709202631472,0.176483944198464,0.120774032388006
"Dataset 2 with Ref 3","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.324585941028416,0.173197324693927,0.122004418780312
"Dataset 2 with Ref 3","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.272616638001047,0.179737134105832,0.121328330360775
"Dataset 2 with Ref 4","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.250148979710494,0.158112156480407,0.10474009401463
"Dataset 2 with Ref 4","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.726098576066313,0.0955597299276719,0.0668765627043784
"Dataset 2 with Ref 4","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.406385455661049,0.14067924706595,0.098387975539435
"Dataset 2 with Ref 4","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.299135855048577,0.15286029382352,0.104544941074787
"Dataset 2 with Ref 4","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.325084589826653,0.150003862104794,0.105995128519795
"Dataset 2 with Ref 4","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.277824798223667,0.155166889532682,0.105057897477435
"Dataset 3 with Ref 1","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.178598391829916,1.67308683508059,1.03470810041719
"Dataset 3 with Ref 1","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.465453692199882,1.34968796264207,0.907226700479211
"Dataset 3 with Ref 1","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.239959126367298,1.60938215591856,0.959511536619046
"Dataset 3 with Ref 1","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.189080418474659,1.66237730540859,0.992992659921711
"Dataset 3 with Ref 1","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.486569623492685,1.32276132146237,0.90542934073707
"Dataset 3 with Ref 1","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.174670926628408,1.67708192975566,1.04189915214709
"Dataset 3 with Ref 2","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.0949087069623288,1.75146750792488,0.98320935466761
"Dataset 3 with Ref 2","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.342736833381953,1.49253848744674,0.822978371766298
"Dataset 3 with Ref 2","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.142338312609478,1.70495883036457,0.945432121253515
"Dataset 3 with Ref 2","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.130918486950951,1.7162721189276,0.949715221245201
"Dataset 3 with Ref 2","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.353728695960294,1.4800054948288,0.815832932821156
"Dataset 3 with Ref 2","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.0766891721484018,1.76900823981266,0.993829700122204
"Dataset 3 with Ref 3","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.436993921227087,0.158129418237129,0.112164332809626
"Dataset 3 with Ref 3","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.7303195737743,0.109441199441372,0.078532805792592
"Dataset 3 with Ref 3","1st_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.461453077873053,0.154656403047725,0.108411321548922
"Dataset 3 with Ref 3","2nd_Der","Built-in_ElasticNet","Elastic_Net_mgaussian",0.364880335665917,0.167951509257957,0.117209827233875
"Dataset 3 with Ref 3","EMSC","Built-in_ElasticNet","Elastic_Net_mgaussian",0.697735646376022,0.11586428818001,0.0828001967441537
"Dataset 3 with Ref 3","RNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.435910769881425,0.158281455487254,0.112514623174056
"Dataset 3 with Ref 4","Raw","Built-in_ElasticNet","Elastic_Net_mgaussian",0.437847583933162,0.136900429114015,0.0981203610136834
"Dataset 3 with Ref 4","SNV","Built-in_ElasticNet","Elastic_Net_mgaussian",0.730794917409481,0.094736949442648,0.0680810200100687
