"Dataset","Preprocessing","Var_Selection","ncomp","R2_CV","RMSECV","RPD_CV"
"Dataset 1 with Ref 1","Raw","None",5,0.108561060360006,1.6020541353743,1.15500906145344
"Dataset 1 with Ref 1","Raw","VIP",3,0.112461446704303,1.5985454934332,1.15754418682335
"Dataset 1 with Ref 1","Raw","SR",1,-0.0125249964336924,1.70739601575604,1.0837480152353
"Dataset 1 with Ref 1","Raw","sMC",3,0.0684390200322122,1.63771011517257,1.12986237683541
"Dataset 1 with Ref 1","Raw","UVE",4,0.034344536367655,1.66741033069084,1.10973706305971
"Dataset 1 with Ref 1","Raw","GA",7,0.110938717126351,1.59991619971704,1.15655247670067
"Dataset 1 with Ref 1","SNV","None",8,0.262118644445772,1.45755400574817,1.26951525363649
"Dataset 1 with Ref 1","SNV","VIP",7,0.374004187087387,1.34250867612118,1.37830546365068
"Dataset 1 with Ref 1","SNV","SR",8,0.315434990723204,1.40390827969671,1.31802559330729
"Dataset 1 with Ref 1","SNV","sMC",5,0.4634857558694,1.24285943981584,1.48881440975373
"Dataset 1 with Ref 1","SNV","UVE",1,0.394403438218244,1.32045342471491,1.40132700530181
"Dataset 1 with Ref 1","SNV","GA",7,0.392383517753278,1.3226537266125,1.39899582639468
"Dataset 1 with Ref 1","1st_Der","None",2,0.130947531294285,1.58181025099429,1.1697907774546
"Dataset 1 with Ref 1","1st_Der","VIP",2,0.127638936597019,1.58481846824153,1.16757034346615
"Dataset 1 with Ref 1","1st_Der","SR",2,0.116912413352009,1.59453213788282,1.16045766612968
"Dataset 1 with Ref 1","1st_Der","sMC",2,0.121222655632664,1.59063601997818,1.16330010137809
"Dataset 1 with Ref 1","1st_Der","UVE",1,0.11481473819422,1.59642483038293,1.15908184844031
"Dataset 1 with Ref 1","1st_Der","GA",2,0.138470164072824,1.57494919209644,1.17488681703642
"Dataset 1 with Ref 1","2nd_Der","None",2,0.107157366092512,1.60331496746429,1.15410077298956
"Dataset 1 with Ref 1","2nd_Der","VIP",6,0.108777970190055,1.60185921320053,1.15514960868451
"Dataset 1 with Ref 1","2nd_Der","SR",2,0.11204532031155,1.59892019209587,1.15727292234065
"Dataset 1 with Ref 1","2nd_Der","sMC",2,0.107519913288713,1.60298941380887,1.15433516114093
"Dataset 1 with Ref 1","2nd_Der","UVE",2,0.0389123391809385,1.66346201260794,1.11237108468457
"Dataset 1 with Ref 1","2nd_Der","GA",1,0.137088298524861,1.57621176939273,1.17394570909032
"Dataset 1 with Ref 1","EMSC","None",11,0.350827646950446,1.36713497789152,1.35347794710808
"Dataset 1 with Ref 1","EMSC","VIP",6,0.341058886058255,1.37738290877876,1.34340787264224
"Dataset 1 with Ref 1","EMSC","SR",1,0.244840904691103,1.47451982361185,1.25490821735019
"Dataset 1 with Ref 1","EMSC","sMC",6,0.503192628854428,1.19598408992253,1.5471669388312
"Dataset 1 with Ref 1","EMSC","UVE",11,-0.366157161520646,1.98326943308036,0.93299831703769
"Dataset 1 with Ref 1","EMSC","GA",8,0.273968967480213,1.4458025250205,1.27983387169007
"Dataset 1 with Ref 1","RNV","None",3,0.0816536114533806,1.62605281692337,1.13796244749132
"Dataset 1 with Ref 1","RNV","VIP",2,0.11288309531151,1.59816573271709,1.15781924578646
"Dataset 1 with Ref 1","RNV","SR",9,0.061030133404661,1.64420973197398,1.1253959925628
"Dataset 1 with Ref 1","RNV","sMC",3,0.0957919063467239,1.61348741363342,1.14682459104492
"Dataset 1 with Ref 1","RNV","UVE",2,0.099344054356444,1.61031503214617,1.1490838788421
"Dataset 1 with Ref 1","RNV","GA",3,0.0948621622219367,1.61431672771934,1.14623543913247
"Dataset 1 with Ref 2","Raw","None",3,0.0299164816018799,1.69815766948961,1.08603502807732
"Dataset 1 with Ref 2","Raw","VIP",3,1.1353206903375e-05,1.72413386617175,1.06967257499491
"Dataset 1 with Ref 2","Raw","SR",3,-0.0204082936268146,1.7416482099872,1.0589157452626
"Dataset 1 with Ref 2","Raw","sMC",2,0.0615797909909823,1.67021401567717,1.10420502699239
"Dataset 1 with Ref 2","Raw","UVE",1,-0.10112020440861,1.80921764062658,1.01936807979893
"Dataset 1 with Ref 2","Raw","GA",5,-0.239483901694332,1.91952553207095,0.96078884153946
"Dataset 1 with Ref 2","SNV","None",2,0.188071874340352,1.55357506015287,1.18710628122622
"Dataset 1 with Ref 2","SNV","VIP",2,0.214685499433874,1.52790114438652,1.20705368867589
"Dataset 1 with Ref 2","SNV","SR",3,0.0941708488675932,1.64095470825522,1.12389373270686
"Dataset 1 with Ref 2","SNV","sMC",5,0.26892356507043,1.47419468316784,1.2510279227848
"Dataset 1 with Ref 2","SNV","UVE",4,0.270994637475198,1.47210507311948,1.25280372029136
"Dataset 1 with Ref 2","SNV","GA",2,0.240914963639769,1.50216854266292,1.22773088364273
"Dataset 1 with Ref 2","1st_Der","None",2,0.0857750692555643,1.64854185508177,1.11872119387129
"Dataset 1 with Ref 2","1st_Der","VIP",1,-0.0633495413689389,1.77791695636366,1.03731431643236
"Dataset 1 with Ref 2","1st_Der","SR",1,0.00895210579386119,1.71640894588861,1.0744867746591
"Dataset 1 with Ref 2","1st_Der","sMC",1,-0.0348564968098131,1.75393507486363,1.05149770860661
"Dataset 1 with Ref 2","1st_Der","UVE",1,0.104654150363643,1.63143156297217,1.13045423058014
