"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Mtry","R2","RMSE","MAE"
"Dataset 1 with Ref 1","Raw","None","Random_Forest",29,0.0617716434002763,1.78811309993137,1.12694047311652
"Dataset 1 with Ref 1","Raw","VIP","Random_Forest",15,0.147894008786479,1.70407033804986,1.07212897904038
"Dataset 1 with Ref 1","Raw","GA","Random_Forest",9,0.0664824000118027,1.78361847694979,1.11305889830357
"Dataset 1 with Ref 1","Raw","PCA","Random_Forest",6,0.136260844926418,1.71566310232924,1.08519540642488
"Dataset 1 with Ref 1","Raw","Kernel_PCA","Random_Forest",4,0.196861075906582,1.65438294673469,1.0746589973999
"Dataset 1 with Ref 1","SNV","None","Random_Forest",295,0.41926614487019,1.40679002411848,0.904606685953618
"Dataset 1 with Ref 1","SNV","VIP","Random_Forest",17,0.477900154168584,1.33388223949549,0.856144317253208
"Dataset 1 with Ref 1","SNV","GA","Random_Forest",46,0.40500153145685,1.42396275951775,0.91981861124726
"Dataset 1 with Ref 1","SNV","PCA","Random_Forest",10,0.392177645911753,1.43922615105642,0.93641611166984
"Dataset 1 with Ref 1","SNV","Kernel_PCA","Random_Forest",10,0.349191545361066,1.48924894333071,0.946013225532007
"Dataset 1 with Ref 1","1st_Der","None","Random_Forest",29,0.43091402899761,1.39261044219639,0.891597589954854
"Dataset 1 with Ref 1","1st_Der","VIP","Random_Forest",13,0.487762757325295,1.32122347980318,0.848598142635971
"Dataset 1 with Ref 1","1st_Der","GA","Random_Forest",46,0.450876531818375,1.36796728050665,0.891702385659576
"Dataset 1 with Ref 1","1st_Der","PCA","Random_Forest",4,0.309707088987774,1.53376002441006,0.993551423135053
"Dataset 1 with Ref 1","1st_Der","Kernel_PCA","Random_Forest",10,0.460398827320142,1.35605451779874,0.915504628546574
"Dataset 1 with Ref 1","2nd_Der","None","Random_Forest",29,0.298647914431403,1.54599738112605,0.993097032400313
"Dataset 1 with Ref 1","2nd_Der","VIP","Random_Forest",13,0.42931624739803,1.39456403781954,0.901645251067041
"Dataset 1 with Ref 1","2nd_Der","GA","Random_Forest",9,0.289068361346824,1.55651972471309,0.998164591287528
"Dataset 1 with Ref 1","2nd_Der","PCA","Random_Forest",6,0.198494411280009,1.65269983977423,1.06898043707751
"Dataset 1 with Ref 1","2nd_Der","Kernel_PCA","Random_Forest",10,0.557776938587215,1.22761277978943,0.814505464841258
"Dataset 1 with Ref 1","EMSC","None","Random_Forest",29,0.40431003263346,1.42478997395522,0.936967047955763
"Dataset 1 with Ref 1","EMSC","VIP","Random_Forest",22,0.398692629981544,1.43149215056898,0.933090648999358
"Dataset 1 with Ref 1","EMSC","GA","Random_Forest",29,0.379677367514936,1.45395016429638,0.961755948432501
"Dataset 1 with Ref 1","EMSC","PCA","Random_Forest",10,0.465936107930195,1.34907879402177,0.862660639167448
"Dataset 1 with Ref 1","EMSC","Kernel_PCA","Random_Forest",10,0.489844656036021,1.31853580521469,0.852119641140373
"Dataset 1 with Ref 1","RNV","None","Random_Forest",30,0.0558426179619367,1.79375408889446,1.123021994659
"Dataset 1 with Ref 1","RNV","VIP","Random_Forest",58,0.260410418514528,1.58758175735388,0.987042182046885
"Dataset 1 with Ref 1","RNV","GA","Random_Forest",27,0.121107498614272,1.73064737142597,1.0810282183592
"Dataset 1 with Ref 1","RNV","PCA","Random_Forest",6,0.151958035150385,1.70000179254585,1.09065934900379
"Dataset 1 with Ref 1","RNV","Kernel_PCA","Random_Forest",6,0.112082512530913,1.73951033050425,1.14219246681647
"Dataset 1 with Ref 2","Raw","None","Random_Forest",29,-0.0506031628415311,1.88701452648714,1.09661423810567
"Dataset 1 with Ref 2","Raw","VIP","Random_Forest",12,0.101151911837349,1.74541635454945,0.973305238503825
"Dataset 1 with Ref 2","Raw","GA","Random_Forest",9,-0.0144165688917892,1.85423194343708,1.07683595261281
"Dataset 1 with Ref 2","Raw","PCA","Random_Forest",4,0.0586149160678173,1.78623891977372,1.06481064989265
"Dataset 1 with Ref 2","Raw","Kernel_PCA","Random_Forest",6,0.0747534276047228,1.770861654186,1.04299315779056
"Dataset 1 with Ref 2","SNV","None","Random_Forest",443,0.257712538929001,1.58614159300492,0.857074727097076
"Dataset 1 with Ref 2","SNV","VIP","Random_Forest",15,0.394046751458565,1.43309655008774,0.761554558735952
"Dataset 1 with Ref 2","SNV","GA","Random_Forest",42,0.214614430585211,1.63153858901668,0.921652093456714
"Dataset 1 with Ref 2","SNV","PCA","Random_Forest",4,0.271686586754806,1.57114057919379,0.873284631708539
"Dataset 1 with Ref 2","SNV","Kernel_PCA","Random_Forest",6,0.210708183326378,1.63559092235319,0.912109233779124
"Dataset 1 with Ref 2","1st_Der","None","Random_Forest",446,0.29177153944203,1.54932517948806,0.853566295228324
"Dataset 1 with Ref 2","1st_Der","VIP","Random_Forest",11,0.417085295294489,1.40558915290688,0.761216937848207
"Dataset 1 with Ref 2","1st_Der","GA","Random_Forest",33,0.365887258356747,1.46601742183212,0.821178309063488
"Dataset 1 with Ref 2","1st_Der","PCA","Random_Forest",4,0.194412993829819,1.65238832491237,0.951260641503956
"Dataset 1 with Ref 2","1st_Der","Kernel_PCA","Random_Forest",10,0.328154727511024,1.50900446305458,0.882204803826741
"Dataset 1 with Ref 2","2nd_Der","None","Random_Forest",29,0.121538438285442,1.72550917552426,0.998063475283741
"Dataset 1 with Ref 2","2nd_Der","VIP","Random_Forest",13,0.29575417723566,1.54496281588473,0.880052793880457
"Dataset 1 with Ref 2","2nd_Der","GA","Random_Forest",9,0.176224315174456,1.67093815454386,0.959061870782637
"Dataset 1 with Ref 2","2nd_Der","PCA","Random_Forest",4,0.0741059224997253,1.77148118710579,1.03177614040183
"Dataset 1 with Ref 2","2nd_Der","Kernel_PCA","Random_Forest",10,0.438874394537628,1.37906880593247,0.766539276815043
"Dataset 1 with Ref 2","EMSC","None","Random_Forest",29,0.233912336872476,1.61136945077788,0.887745683069013
"Dataset 1 with Ref 2","EMSC","VIP","Random_Forest",21,0.258084173433145,1.58574448354641,0.856651752769412
"Dataset 1 with Ref 2","EMSC","GA","Random_Forest",9,0.237164914070277,1.60794511785715,0.882291896553401
"Dataset 1 with Ref 2","EMSC","PCA","Random_Forest",6,0.297221451704522,1.54335253549726,0.847763984343153
"Dataset 1 with Ref 2","EMSC","Kernel_PCA","Random_Forest",10,0.330799309781497,1.50603159006412,0.824343170280209
"Dataset 1 with Ref 2","RNV","None","Random_Forest",30,-0.0308352898656374,1.86917743888285,1.08159357490079
"Dataset 1 with Ref 2","RNV","VIP","Random_Forest",14,0.0205575063165625,1.82198737193299,1.02252250188025
"Dataset 1 with Ref 2","RNV","GA","Random_Forest",9,-0.0375449821286826,1.87525079676544,1.0866718950336
"Dataset 1 with Ref 2","RNV","PCA","Random_Forest",4,0.09015592828098,1.75606010426832,1.04418624863553
"Dataset 1 with Ref 2","RNV","Kernel_PCA","Random_Forest",6,0.0394373053214221,1.8043415474142,1.02742102365601
"Dataset 1 with Ref 3","Raw","None","Random_Forest",29,0.270639005084107,0.179981305758841,0.128324493044816
"Dataset 1 with Ref 3","Raw","VIP","Random_Forest",61,0.443825310228861,0.157167136922678,0.109640728088297
"Dataset 1 with Ref 3","Raw","GA","Random_Forest",8,0.285783107963848,0.178102981580216,0.126600826365319
"Dataset 1 with Ref 3","Raw","PCA","Random_Forest",4,0.351503501441142,0.169710982983174,0.12110124277951
"Dataset 1 with Ref 3","Raw","Kernel_PCA","Random_Forest",10,0.439878194289861,0.157723850630005,0.111395233973463
"Dataset 1 with Ref 3","SNV","None","Random_Forest",295,0.632368327367412,0.127779913930192,0.0912140898716722
"Dataset 1 with Ref 3","SNV","VIP","Random_Forest",18,0.650956370044132,0.124507636604302,0.0889476199699034
"Dataset 1 with Ref 3","SNV","GA","Random_Forest",32,0.63161463032834,0.127910830333151,0.0918673985721336
"Dataset 1 with Ref 3","SNV","PCA","Random_Forest",6,0.519979001880308,0.146011226476996,0.104903733835228
"Dataset 1 with Ref 3","SNV","Kernel_PCA","Random_Forest",6,0.52095366250642,0.145862916604514,0.102245086957059
"Dataset 1 with Ref 3","1st_Der","None","Random_Forest",297,0.59428110541862,0.134235921334876,0.0981942748047831
"Dataset 1 with Ref 3","1st_Der","VIP","Random_Forest",13,0.618578176593071,0.130154413701561,0.0954952749810593
"Dataset 1 with Ref 3","1st_Der","GA","Random_Forest",34,0.615070397359839,0.130751532217622,0.092041103597342
"Dataset 1 with Ref 3","1st_Der","PCA","Random_Forest",6,0.48834430840636,0.150745735801624,0.107524570905744
