"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Depth","Best_Eta","Best_Nrounds","R2","RMSE","MAE"
"Dataset 1 with Ref 1","Raw","None","XGBoost",3,0.05,100,0.0345369039297637,1.81387997587615,1.18610769041058
"Dataset 1 with Ref 1","Raw","VIP","XGBoost",3,0.05,100,0.108928145429857,1.74259743579319,1.08507989288736
"Dataset 1 with Ref 1","Raw","GA","XGBoost",3,0.05,100,-0.147061791510019,1.97712493964013,1.26948073470102
"Dataset 1 with Ref 1","Raw","PCA","XGBoost",3,0.05,100,-0.0211347879394908,1.8654441172541,1.1848834707937
"Dataset 1 with Ref 1","Raw","Kernel_PCA","XGBoost",3,0.1,100,-0.115727145982326,1.94993308166404,1.29965724029243
"Dataset 1 with Ref 1","SNV","None","XGBoost",3,0.05,100,0.267647970122558,1.57979469944632,0.978486128080914
"Dataset 1 with Ref 1","SNV","VIP","XGBoost",3,0.05,100,0.355958410610722,1.48148638310384,0.927285747731973
"Dataset 1 with Ref 1","SNV","GA","XGBoost",3,0.05,100,0.233763900834822,1.61592802099352,1.01925110540911
"Dataset 1 with Ref 1","SNV","PCA","XGBoost",3,0.05,100,0.329283800017203,1.51185487819296,0.956677783624731
"Dataset 1 with Ref 1","SNV","Kernel_PCA","XGBoost",3,0.05,100,0.205142268210874,1.64583164749052,0.978416584924114
"Dataset 1 with Ref 1","1st_Der","None","XGBoost",3,0.05,100,0.193227734237144,1.65812087761449,1.03070536544332
"Dataset 1 with Ref 1","1st_Der","VIP","XGBoost",3,0.05,100,0.243803994440263,1.60530625166437,0.970815607580527
"Dataset 1 with Ref 1","1st_Der","GA","XGBoost",3,0.05,100,0.302666432037697,1.54156198949092,0.97705893636113
"Dataset 1 with Ref 1","1st_Der","PCA","XGBoost",3,0.05,100,0.233772766928901,1.61591867204004,1.06495896116203
"Dataset 1 with Ref 1","1st_Der","Kernel_PCA","XGBoost",3,0.05,100,0.363332940830421,1.47298016139426,0.885524741977604
"Dataset 1 with Ref 1","2nd_Der","None","XGBoost",3,0.1,100,0.0926985510669702,1.75839528168678,1.15191834822732
"Dataset 1 with Ref 1","2nd_Der","VIP","XGBoost",3,0.05,100,0.292442194385335,1.55282198319624,1.0041507923587
"Dataset 1 with Ref 1","2nd_Der","GA","XGBoost",3,0.05,100,0.146845442291932,1.70511849503799,1.08988046722217
"Dataset 1 with Ref 1","2nd_Der","PCA","XGBoost",3,0.05,100,-0.0536151361974166,1.89487998303771,1.15890355455398
"Dataset 1 with Ref 1","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.529071757463211,1.26682923131997,0.775201195381492
"Dataset 1 with Ref 1","EMSC","None","XGBoost",3,0.05,100,0.139321727022333,1.71262045735755,1.04376506323499
"Dataset 1 with Ref 1","EMSC","VIP","XGBoost",3,0.05,100,0.36232482092659,1.47414588312907,0.896011699691057
"Dataset 1 with Ref 1","EMSC","GA","XGBoost",3,0.05,100,0.230445350636421,1.61942351314259,0.990751875322396
"Dataset 1 with Ref 1","EMSC","PCA","XGBoost",3,0.05,100,0.374424825523105,1.46009280335544,0.900076882704061
"Dataset 1 with Ref 1","EMSC","Kernel_PCA","XGBoost",3,0.05,100,0.418479514217749,1.40774248250801,0.86259419722967
"Dataset 1 with Ref 1","RNV","None","XGBoost",3,0.1,100,-0.268062553116553,2.07879204566288,1.30057469653275
"Dataset 1 with Ref 1","RNV","VIP","XGBoost",3,0.05,100,0.0881682259332323,1.76277981289186,1.07888491627349
"Dataset 1 with Ref 1","RNV","GA","XGBoost",3,0.05,100,-0.0443802890343905,1.88655747534339,1.20090974292059
"Dataset 1 with Ref 1","RNV","PCA","XGBoost",3,0.05,100,0.0380548431513339,1.81057226633934,1.18544971575088
"Dataset 1 with Ref 1","RNV","Kernel_PCA","XGBoost",3,0.05,100,-0.0667917650867602,1.90669195795443,1.26138490765411
"Dataset 1 with Ref 2","Raw","None","XGBoost",3,0.1,100,-0.2935603433542,2.0938677020487,1.14600863398178
"Dataset 1 with Ref 2","Raw","VIP","XGBoost",3,0.05,100,-0.251220221500758,2.05931493302564,1.08811587019673
"Dataset 1 with Ref 2","Raw","GA","XGBoost",3,0.05,100,-0.386697420756423,2.16793743858829,1.1688544445236
"Dataset 1 with Ref 2","Raw","PCA","XGBoost",3,0.1,100,-0.103166763627912,1.93364380431061,1.08798809235414
"Dataset 1 with Ref 2","Raw","Kernel_PCA","XGBoost",3,0.05,100,-0.22101289772441,2.03430476903694,1.12783832206071
"Dataset 1 with Ref 2","SNV","None","XGBoost",3,0.05,100,0.175824333998398,1.67134376417293,0.805957908525081
"Dataset 1 with Ref 2","SNV","VIP","XGBoost",6,0.05,100,0.283892161321191,1.55791983008877,0.744425186401394
"Dataset 1 with Ref 2","SNV","GA","XGBoost",3,0.1,200,0.0921880681425462,1.75409792488279,0.878815269981622
"Dataset 1 with Ref 2","SNV","PCA","XGBoost",6,0.05,100,0.090020732019564,1.75619056834975,0.853588565446953
"Dataset 1 with Ref 2","SNV","Kernel_PCA","XGBoost",3,0.05,100,0.045850237382892,1.79830836633707,0.917302241482226
"Dataset 1 with Ref 2","1st_Der","None","XGBoost",3,0.05,100,0.136297775608062,1.71095233387735,0.858768889508832
"Dataset 1 with Ref 2","1st_Der","VIP","XGBoost",3,0.05,100,0.221138303585734,1.62474820033905,0.784359088732148
"Dataset 1 with Ref 2","1st_Der","GA","XGBoost",3,0.05,100,0.132094410859185,1.7151106118995,0.872849346641549
"Dataset 1 with Ref 2","1st_Der","PCA","XGBoost",3,0.1,100,0.0291748219368749,1.81395457399768,1.00560928638221
"Dataset 1 with Ref 2","1st_Der","Kernel_PCA","XGBoost",3,0.05,100,0.211645895923598,1.63461905746129,0.808273565537776
"Dataset 1 with Ref 2","2nd_Der","None","XGBoost",3,0.05,100,-0.373023801568907,2.15722241576959,1.17801754178725
"Dataset 1 with Ref 2","2nd_Der","VIP","XGBoost",3,0.05,100,-0.00306848070720189,1.84383130136801,0.988395350491918
"Dataset 1 with Ref 2","2nd_Der","GA","XGBoost",3,0.05,100,-0.230139543587924,2.04189347428234,1.08603330735745
"Dataset 1 with Ref 2","2nd_Der","PCA","XGBoost",3,0.1,100,-0.209686337618416,2.02484730944899,1.10356543788253
"Dataset 1 with Ref 2","2nd_Der","Kernel_PCA","XGBoost",3,0.1,100,0.355053939757719,1.47848726663468,0.727738373257288
"Dataset 1 with Ref 2","EMSC","None","XGBoost",3,0.05,100,0.0197719428423186,1.8227178894788,0.882524627274943
"Dataset 1 with Ref 2","EMSC","VIP","XGBoost",3,0.1,100,0.127640959172519,1.71950532317165,0.838768100624631
"Dataset 1 with Ref 2","EMSC","GA","XGBoost",3,0.1,100,0.000507678761911046,1.84054153476079,0.909750024653613
"Dataset 1 with Ref 2","EMSC","PCA","XGBoost",3,0.1,100,0.258236773510197,1.58558139417288,0.830271779976043
"Dataset 1 with Ref 2","EMSC","Kernel_PCA","XGBoost",3,0.05,100,0.183040049161013,1.66401131453193,0.802589423971793
"Dataset 1 with Ref 2","RNV","None","XGBoost",3,0.05,100,-0.402295886514881,2.18009651925285,1.17631623472054
"Dataset 1 with Ref 2","RNV","VIP","XGBoost",3,0.05,100,-0.240106384606644,2.0501487049386,1.07846101071154
"Dataset 1 with Ref 2","RNV","GA","XGBoost",3,0.05,100,-0.136611368475689,1.96273600453341,1.03547212825373
"Dataset 1 with Ref 2","RNV","PCA","XGBoost",3,0.05,100,-0.00761477677924915,1.84800505736014,1.05221824811994
"Dataset 1 with Ref 2","RNV","Kernel_PCA","XGBoost",3,0.05,100,-0.151752848648664,1.9757661429317,1.0878432615076
"Dataset 1 with Ref 3","Raw","None","XGBoost",3,0.05,100,0.126186789869356,0.196999640749668,0.138401228014734
"Dataset 1 with Ref 3","Raw","VIP","XGBoost",3,0.1,100,0.380135027103118,0.165922269431153,0.11663906922994
"Dataset 1 with Ref 3","Raw","GA","XGBoost",3,0.05,100,0.118900771610568,0.197819245748004,0.138099655353939
"Dataset 1 with Ref 3","Raw","PCA","XGBoost",3,0.05,100,0.296788259523997,0.176725487208097,0.12574963136372
"Dataset 1 with Ref 3","Raw","Kernel_PCA","XGBoost",3,0.05,100,0.327489692619087,0.172824617235304,0.122014963658028
"Dataset 1 with Ref 3","SNV","None","XGBoost",3,0.05,100,0.514942922398167,0.14677515717572,0.101516293463775
"Dataset 1 with Ref 3","SNV","VIP","XGBoost",3,0.05,100,0.559764257667775,0.13982949236135,0.0971032995410641
"Dataset 1 with Ref 3","SNV","GA","XGBoost",3,0.05,100,0.590690044253823,0.134828680801383,0.0937321225272244
"Dataset 1 with Ref 3","SNV","PCA","XGBoost",3,0.05,100,0.450773564628875,0.156182311982738,0.111553204670135
"Dataset 1 with Ref 3","SNV","Kernel_PCA","XGBoost",3,0.05,100,0.449184924962325,0.156408027861404,0.106276306444736
"Dataset 1 with Ref 3","1st_Der","None","XGBoost",3,0.05,100,0.506927959160752,0.147982827012353,0.105678595564014
"Dataset 1 with Ref 3","1st_Der","VIP","XGBoost",3,0.05,100,0.511490533498293,0.147296566396327,0.108233427210787
"Dataset 1 with Ref 3","1st_Der","GA","XGBoost",3,0.1,100,0.537827405284203,0.143270978177509,0.10365969415162
"Dataset 1 with Ref 3","1st_Der","PCA","XGBoost",3,0.1,100,0.374910991673866,0.16661997397875,0.117799026099588
"Dataset 1 with Ref 3","1st_Der","Kernel_PCA","XGBoost",3,0.1,100,0.480760064788052,0.151858873773399,0.111613845154559
"Dataset 1 with Ref 3","2nd_Der","None","XGBoost",3,0.1,100,0.484026920728503,0.151380401478208,0.108901903509469
"Dataset 1 with Ref 3","2nd_Der","VIP","XGBoost",3,0.1,100,0.517861762560452,0.146332879672686,0.105340142142235
"Dataset 1 with Ref 3","2nd_Der","GA","XGBoost",3,0.1,100,0.414155243611063,0.161304842235097,0.116576388430442
"Dataset 1 with Ref 3","2nd_Der","PCA","XGBoost",6,0.05,100,0.369087424235665,0.167394322219315,0.121337249560647
"Dataset 1 with Ref 3","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.636722710269987,0.127020920472249,0.0900791027673583
"Dataset 1 with Ref 3","EMSC","None","XGBoost",3,0.05,100,0.568481327456494,0.138438194854611,0.0942353796636297
"Dataset 1 with Ref 3","EMSC","VIP","XGBoost",3,0.05,100,0.636449643907415,0.127068650713262,0.087846101618769
"Dataset 1 with Ref 3","EMSC","GA","XGBoost",3,0.1,200,0.60340027642604,0.132718765919714,0.0940262046772928
"Dataset 1 with Ref 3","EMSC","PCA","XGBoost",3,0.05,100,0.478711839563936,0.152158094827331,0.109248628967301
"Dataset 1 with Ref 3","EMSC","Kernel_PCA","XGBoost",3,0.05,100,0.652802033170323,0.124178016291438,0.0868706540984544
